person_id,entity_type,age_bucket,region
0,person,18_24,UK
1,person,55_64,UK
2,person,45_54,SG
3,person,35_44,SG
4,person,35_44,SG
5,person,65_plus,AE
6,person,18_24,US
7,person,55_64,AE
8,person,25_34,SG
9,person,18_24,EU
10,person,45_54,AE
11,person,65_plus,UK
12,person,55_64,US
13,person,55_64,AE
14,person,55_64,SG
15,person,55_64,AE
16,person,45_54,UK
17,person,18_24,US
18,person,65_plus,SG
19,person,35_44,SG
20,person,45_54,AE
21,person,35_44,US
22,person,25_34,SG
23,person,65_plus,US
24,person,55_64,AE
25,person,45_54,UK
26,person,35_44,EU
27,person,55_64,UK
28,person,45_54,SG
29,person,35_44,EU
30,person,35_44,EU
31,person,25_34,AE
32,person,18_24,EU
33,person,45_54,UK
34,person,65_plus,UK
35,person,18_24,EU
36,person,65_plus,AE
37,person,55_64,US
38,person,25_34,AE
39,person,45_54,EU
40,person,18_24,EU
41,person,55_64,UK
42,person,55_64,EU
43,person,35_44,US
44,person,18_24,AE
45,person,65_plus,EU
46,person,35_44,SG
47,person,65_plus,SG
48,person,55_64,EU
49,person,55_64,AE
50,person,55_64,US
51,person,25_34,UK
52,person,35_44,AE
53,person,35_44,AE
54,person,35_44,UK
55,person,18_24,AE
56,person,45_54,AE
57,person,18_24,AE
58,person,55_64,EU
59,person,55_64,SG
60,person,65_plus,US
61,person,55_64,SG
62,person,35_44,SG
63,person,65_plus,SG
64,person,35_44,US
65,person,25_34,SG
66,person,65_plus,US
67,person,35_44,UK
68,person,18_24,UK
69,person,35_44,AE
70,person,55_64,AE
71,person,25_34,US
72,person,35_44,UK
73,person,18_24,SG
74,person,55_64,UK
75,person,35_44,EU
76,person,25_34,EU
77,person,25_34,UK
78,person,45_54,AE
79,person,55_64,US
80,person,65_plus,EU
81,person,35_44,US
82,person,18_24,UK
83,person,55_64,US
84,person,45_54,US
85,person,55_64,EU
86,person,18_24,AE
87,person,25_34,EU
88,person,55_64,UK
89,person,55_64,US
90,person,35_44,AE
91,person,55_64,EU
92,person,65_plus,UK
93,person,35_44,AE
94,person,65_plus,US
95,person,25_34,UK
96,person,25_34,SG
97,person,55_64,EU
98,person,45_54,AE
99,person,18_24,EU
100,person,55_64,US
101,person,25_34,US
102,person,55_64,EU
103,person,18_24,US
104,person,55_64,UK
105,person,55_64,SG
106,person,55_64,SG
107,person,45_54,AE
108,person,35_44,EU
109,person,55_64,EU
110,person,25_34,US
111,person,55_64,SG
112,person,45_54,AE
113,person,35_44,UK
114,person,45_54,EU
115,person,45_54,EU
116,person,18_24,EU
117,person,18_24,US
118,person,25_34,AE
119,person,18_24,UK
120,person,35_44,AE
121,person,55_64,SG
122,person,45_54,SG
123,person,35_44,SG
124,person,65_plus,UK
125,person,45_54,SG
126,person,18_24,EU
127,person,55_64,US
128,person,45_54,SG
129,person,45_54,SG
130,person,45_54,EU
131,person,45_54,EU
132,person,18_24,US
133,person,45_54,UK
134,person,55_64,SG
135,person,25_34,UK
136,person,45_54,US
137,person,18_24,SG
138,person,35_44,UK
139,person,35_44,AE
140,person,65_plus,EU
141,person,25_34,UK
142,person,25_34,SG
143,person,35_44,US
144,person,65_plus,SG
145,person,65_plus,SG
146,person,18_24,US
147,person,25_34,AE
148,person,55_64,EU
149,person,18_24,US
150,person,65_plus,UK
151,person,25_34,SG
152,person,65_plus,EU
153,person,25_34,SG
154,person,35_44,AE
155,person,45_54,AE
156,person,18_24,AE
157,person,45_54,UK
158,person,45_54,UK
159,person,55_64,AE
160,person,65_plus,EU
161,person,45_54,UK
162,person,35_44,EU
163,person,35_44,AE
164,person,35_44,EU
165,person,55_64,UK
166,person,25_34,SG
167,person,25_34,UK
168,person,35_44,EU
169,person,18_24,UK
170,person,18_24,SG
171,person,18_24,US
172,person,55_64,AE
173,person,55_64,EU
174,person,55_64,EU
175,person,35_44,UK
176,person,55_64,EU
177,person,18_24,US
178,person,65_plus,UK
179,person,45_54,US
180,person,65_plus,AE
181,person,18_24,SG
182,person,35_44,SG
183,person,55_64,AE
184,person,35_44,SG
185,person,35_44,SG
186,person,18_24,AE
187,person,35_44,UK
188,person,25_34,AE
189,person,25_34,EU
190,person,55_64,SG
191,person,45_54,AE
192,person,45_54,US
193,person,35_44,UK
194,person,65_plus,EU
195,person,18_24,US
196,person,35_44,AE
197,person,18_24,AE
198,person,35_44,US
199,person,65_plus,AE
200,person,35_44,US
201,person,65_plus,US
202,person,35_44,AE
203,person,55_64,SG
204,person,35_44,US
205,person,25_34,US
206,person,55_64,SG
207,person,65_plus,SG
208,person,25_34,US
209,person,55_64,UK
210,person,25_34,UK
211,person,55_64,UK
212,person,55_64,US
213,person,35_44,SG
214,person,55_64,AE
215,person,25_34,EU
216,person,18_24,SG
217,person,18_24,SG
218,person,35_44,UK
219,person,65_plus,EU
220,person,18_24,EU
221,person,35_44,AE
222,person,55_64,AE
223,person,25_34,AE
224,person,55_64,US
225,person,25_34,US
226,person,55_64,EU
227,person,45_54,SG
228,person,45_54,UK
229,person,25_34,EU
230,person,35_44,UK
231,person,65_plus,US
232,person,18_24,EU
233,person,55_64,UK
234,person,35_44,EU
235,person,55_64,AE
236,person,45_54,US
237,person,35_44,AE
238,person,25_34,AE
239,person,45_54,AE
240,person,18_24,EU
241,person,45_54,AE
242,person,18_24,AE
243,person,45_54,AE
244,person,45_54,EU
245,person,18_24,EU
246,person,55_64,US
247,person,35_44,AE
248,person,55_64,AE
249,person,18_24,US
250,person,25_34,UK
251,person,35_44,US
252,person,25_34,SG
253,person,25_34,US
254,person,45_54,EU
255,person,18_24,EU
256,person,55_64,UK
257,person,18_24,EU
258,person,25_34,SG
259,person,45_54,EU
260,person,55_64,AE
261,person,25_34,UK
262,person,25_34,US
263,person,65_plus,US
264,person,65_plus,AE
265,person,45_54,AE
266,person,35_44,US
267,person,35_44,SG
268,person,45_54,SG
269,person,45_54,US
270,person,25_34,UK
271,person,18_24,US
272,person,18_24,EU
273,person,65_plus,US
274,person,35_44,SG
275,person,35_44,EU
276,person,35_44,EU
277,person,55_64,AE
278,person,18_24,EU
279,person,18_24,UK
280,person,25_34,SG
281,person,35_44,SG
282,person,55_64,AE
283,person,35_44,SG
284,person,35_44,AE
285,person,65_plus,US
286,person,18_24,EU
287,person,45_54,AE
288,person,45_54,EU
289,person,35_44,EU
290,person,55_64,AE
291,person,25_34,AE
292,person,65_plus,EU
293,person,25_34,SG
294,person,45_54,AE
295,person,45_54,SG
296,person,65_plus,UK
297,person,35_44,SG
298,person,25_34,UK
299,person,18_24,AE
300,person,35_44,UK
301,person,55_64,AE
302,person,18_24,UK
303,person,65_plus,US
304,person,45_54,EU
305,person,18_24,AE
306,person,25_34,EU
307,person,45_54,SG
308,person,25_34,UK
309,person,18_24,US
310,person,45_54,AE
311,person,55_64,AE
312,person,18_24,EU
313,person,25_34,EU
314,person,25_34,US
315,person,45_54,US
316,person,55_64,US
317,person,55_64,UK
318,person,65_plus,SG
319,person,55_64,EU
320,person,25_34,EU
321,person,18_24,AE
322,person,45_54,SG
323,person,65_plus,EU
324,person,65_plus,AE
